Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2019-03-25_12:18:11.313562,0.029520948976536003,0.009047019990864,0.7514648,0.01203918,0.020473928985672,0.9017334,0.02270508
2019-03-25_12:18:11.684591,0.028900823677473,0.00853972667346,0.7512207,0.0113678,0.020361097004013,0.9016113,0.02258301
2019-03-25_12:18:12.059930,0.030039229093542,0.009207555416088,0.7514648,0.01225281,0.020831673677454,0.9017334,0.02310181
2019-03-25_12:18:12.415411,0.028761986906562002,0.008125745182128,0.7510986,0.01081848,0.020636241724434002,0.9016113,0.02288818
2019-03-25_12:18:12.786749,0.029118753914094,0.008449398266244,0.7513428,0.01124573,0.02066935564785,0.9018555,0.0229187
2019-03-25_12:18:13.144777,0.029066405027256,0.008622765508728,0.7514648,0.01147461,0.020443639518528,0.9016113,0.02267456
2019-03-25_12:18:13.552896,0.030207414437975998,0.00932070797112,0.7513428,0.0124054,0.020886706466856,0.9017334,0.02316284
2019-03-25_12:18:13.946293,0.030388918919449,0.009150218651848,0.7514648,0.01217651,0.021238700267601,0.9014893,0.02355957
2019-03-25_12:18:14.315039,0.029381048871422004,0.008576896097336001,0.7514648,0.01141357,0.020804152774086003,0.9017334,0.02307129
2019-03-25_12:18:14.710414,0.030176664025811997,0.009204564505166999,0.7512207,0.01225281,0.020972099520645,0.9018555,0.02325439
2019-03-25_12:18:15.087429,0.029801596619892,0.008667220057391999,0.7513428,0.01153564,0.0211343765625,0.9017334,0.0234375
2019-03-25_12:18:15.465298,0.029418113706045,0.009057016702032,0.7513428,0.01205444,0.020361097004013,0.9016113,0.02258301
2019-03-25_12:18:15.838688,0.029728188530550002,0.008896514853096,0.7513428,0.01184082,0.020831673677454,0.9017334,0.02310181
2019-03-25_12:18:16.207927,0.029270426583519003,0.008768976694479,0.7512207,0.01167297,0.020501449889040003,0.9017334,0.0227356
2019-03-25_12:18:16.599406,0.029646234685626,0.008564045664096,0.7513428,0.01139832,0.02108218902153,0.9018555,0.02337646
2019-03-25_12:18:16.949778,0.029578618542042003,0.008942376817608,0.7513428,0.01190186,0.020636241724434002,0.9016113,0.02288818
2019-03-25_12:18:17.306530,0.028901736979579998,0.008460863757372,0.7513428,0.01126099,0.020440873222208,0.9014893,0.02267456
2019-03-25_12:18:17.678328,0.029436926503806,0.009045551210904,0.7513428,0.01203918,0.020391375292902,0.9017334,0.02261353
2019-03-25_12:18:18.093327,0.029175154227009,0.008588363450184,0.7514648,0.01142883,0.020586790776825,0.9018555,0.02282715
2019-03-25_12:18:18.472573,0.030157508812704,0.009240449533224,0.7513428,0.01229858,0.02091705927948,0.9018555,0.02319336
2019-03-25_12:18:18.861731,0.03006760777668,0.008713082021904,0.7513428,0.01159668,0.021354525754776,0.9017334,0.02368164
2019-03-25_12:18:19.285721,0.029694648692398,0.008508099494896,0.7514648,0.01132202,0.021186549197502,0.9016113,0.02349854
2019-03-25_12:18:19.658304,0.030156428174286,0.009079947684288001,0.7513428,0.01208496,0.021076480489998002,0.9016113,0.02337646
2019-03-25_12:18:20.035554,0.028547266131816004,0.008265965435052,0.7513428,0.01100159,0.020281300696764003,0.9017334,0.02249146
2019-03-25_12:18:20.397125,0.030745719827199,0.009228991555524,0.7513428,0.01228333,0.021516728271675,0.9016113,0.02386475
2019-03-25_12:18:20.770710,0.028594451552534005,0.007933488732624,0.7513428,0.01055908,0.020660962819910002,0.9014893,0.0229187
2019-03-25_12:18:21.150913,0.029368998074646,0.008895069088974,0.7512207,0.01184082,0.020473928985672,0.9017334,0.02270508
2019-03-25_12:18:21.528679,0.029627897350974004,0.008518183699584,0.7513428,0.01133728,0.021109713651390003,0.9018555,0.02340698
2019-03-25_12:18:21.901888,0.029236475349312,0.008572716448002,0.7510986,0.01141357,0.02066375890131,0.9016113,0.0229187
2019-03-25_12:18:22.339063,0.028683069960003,0.008046828235568999,0.7512207,0.01071167,0.020636241724434002,0.9016113,0.02288818
2019-03-25_12:18:22.714362,0.030223519704504,0.008896514853096,0.7513428,0.01184082,0.021327004851408,0.9017334,0.02365112
2019-03-25_12:18:23.101541,0.02934101323905,0.008814831206007,0.7512207,0.01173401,0.020526182033043,0.9016113,0.02276611
2019-03-25_12:18:23.462357,0.029742548090806002,0.008910874413352,0.7515869,0.01185608,0.020831673677454,0.9017334,0.02310181
2019-03-25_12:18:23.836550,0.02925113020257,0.008562653929224,0.7512207,0.01139832,0.020688476273346,0.9014893,0.02294922
2019-03-25_12:18:24.192189,0.02923049345212,0.00873459332304,0.7512207,0.0116272,0.02049590012908,0.9014893,0.0227356
2019-03-25_12:18:24.583650,0.029694667692585,0.008780440322361,0.7512207,0.01168823,0.020914227370224,0.9017334,0.02319336
2019-03-25_12:18:24.943492,0.029303074653616,0.00841636818676,0.7514648,0.01119995,0.020886706466856,0.9017334,0.02316284
2019-03-25_12:18:25.349525,0.030468828160224,0.009389493404459999,0.7513428,0.01249695,0.021079334755764,0.9017334,0.02337646
2019-03-25_12:18:25.710458,0.029334208078251,0.008367787279644,0.7512207,0.01113892,0.020966420798607,0.9016113,0.02325439
2019-03-25_12:18:26.090728,0.029421839492712,0.008562653929224,0.7512207,0.01139832,0.020859185563488,0.9017334,0.02313232
2019-03-25_12:18:26.469492,0.029285620112586,0.008701616530776,0.7513428,0.01158142,0.02058400358181,0.9017334,0.02282715
2019-03-25_12:18:26.848576,0.029174543920493,0.008403536301732,0.7513428,0.01118469,0.020771007618761,0.9014893,0.02304077
2019-03-25_12:18:27.239190,0.029769776546955,0.008940923600502,0.7512207,0.01190186,0.020828852946453,0.9016113,0.02310181
2019-03-25_12:18:27.642323,0.029403983577118004,0.008599830803032001,0.7514648,0.01144409,0.020804152774086003,0.9017334,0.02307129
2019-03-25_12:18:28.016242,0.030183100969181,0.008886492080288001,0.7514648,0.01182556,0.021296608888893,0.9016113,0.02362061
