Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2018-11-27_14:54:08.518774,0.029655664162673998,0.008496632142048,0.7514648,0.01130676,0.021159032020626,0.9016113,0.02346802
2018-11-27_14:54:08.901573,0.029507185163498,0.008978223388424002,0.7514648,0.01194763,0.020528961775074,0.9017334,0.02276611
2018-11-27_14:54:09.280553,0.029910794046650004,0.008886492080288001,0.7514648,0.01182556,0.021024301966362003,0.9017334,0.02331543
2018-11-27_14:54:09.700984,0.029616918067850998,0.008864997548976,0.7515869,0.01179504,0.020751920518875,0.9018555,0.02301025
2018-11-27_14:54:10.105645,0.029371394687766998,0.008817695477848,0.7514648,0.01173401,0.020553699209918997,0.9016113,0.02279663
2018-11-27_14:54:10.503442,0.029341230808382,0.008922343629445998,0.7515869,0.01187134,0.020418887178936,0.9017334,0.02264404
2018-11-27_14:54:10.892143,0.029175600250802,0.008704443555398,0.7515869,0.01158142,0.020471156695404,0.9016113,0.02270508
2018-11-27_14:54:11.285903,0.029583204736661997,0.008919445835352,0.7513428,0.01187134,0.02066375890131,0.9016113,0.0229187
2018-11-27_14:54:11.648427,0.030277963884759,0.009228991555524,0.7513428,0.01228333,0.021048972329235,0.9016113,0.02334595
2018-11-27_14:54:12.085389,0.028986157408580997,0.00868009475832,0.7514648,0.0115509,0.020306062650260998,0.9016113,0.02252197
2018-11-27_14:54:12.449080,0.029520788164282,0.0088047984375,0.7513428,0.01171875,0.020715989726782,0.9014893,0.02297974
2018-11-27_14:54:12.834102,0.029867234460888,0.009448347281952001,0.7514648,0.01257324,0.020418887178936,0.9017334,0.02264404
2018-11-27_14:54:13.222078,0.029589753093624,0.009115824107952,0.7514648,0.01213074,0.020473928985672,0.9017334,0.02270508
2018-11-27_14:54:13.603394,0.029076953530836003,0.008575503641796,0.7513428,0.01141357,0.020501449889040003,0.9017334,0.0227356
2018-11-27_14:54:13.993107,0.029690644854374004,0.008886492080288001,0.7514648,0.01182556,0.020804152774086003,0.9017334,0.02307129
2018-11-27_14:54:14.385878,0.030471157065258,0.009171664099884,0.7513428,0.01220703,0.021299492965374,0.9017334,0.02362061
2018-11-27_14:54:14.768509,0.029321520743022002,0.008979682194047,0.7515869,0.01194763,0.020341838548975002,0.9019775,0.02255249
2018-11-27_14:54:15.153383,0.029348005445733,0.008816263928627999,0.7513428,0.01173401,0.020531741517105,0.9018555,0.02276611
2018-11-27_14:54:15.540128,0.029600342542367,0.008796189768280999,0.7515869,0.01170349,0.020804152774086003,0.9017334,0.02307129
2018-11-27_14:54:15.919900,0.028984800770836,0.008508099494896,0.7514648,0.01132202,0.02047670127594,0.9018555,0.02270508
2018-11-27_14:54:16.311685,0.029822796008377,0.008853535848751,0.7515869,0.01177979,0.020969260159626,0.9017334,0.02325439
2018-11-27_14:54:16.700388,0.029268219878044,0.008852097536392,0.7514648,0.01177979,0.020416122341652,0.9016113,0.02264404
2018-11-27_14:54:17.091732,0.029405008234067,0.00907142840693,0.7515869,0.0120697,0.020333579827137002,0.9016113,0.02255249
2018-11-27_14:54:17.462793,0.029254981838503,0.00872879980546,0.751709,0.01161194,0.020526182033043,0.9016113,0.02276611
2018-11-27_14:54:17.837477,0.029616906260047,0.008452143348937,0.7515869,0.01124573,0.02116476291111,0.9018555,0.02346802
2018-11-27_14:54:18.221269,0.029566813167906,0.008955288682728,0.7514648,0.01191711,0.020611524485178,0.9017334,0.02285767
2018-11-27_14:54:18.652987,0.029612670636568,0.008725964169712,0.7514648,0.01161194,0.020886706466856,0.9017334,0.02316284
