Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2018-11-27_14:51:54.784868,0.028203818753729,0.008313169525776001,0.7514648,0.01106262,0.019890649227953,0.9014893,0.02206421
2018-11-27_14:51:55.165624,0.029768382200527,0.0088047984375,0.7513428,0.01171875,0.020963583763027,0.9014893,0.02325439
2018-11-27_14:51:55.548363,0.029321805057621,0.008575503641796,0.7513428,0.01141357,0.020746301415825,0.9016113,0.02301025
2018-11-27_14:51:55.930718,0.02920626045475,0.008542501553440001,0.7514648,0.0113678,0.02066375890131,0.9016113,0.0229187
2018-11-27_14:51:56.314881,0.029163140314293002,0.0088047984375,0.7513428,0.01171875,0.020358341876793,0.9014893,0.02258301
2018-11-27_14:51:56.681766,0.029620291877136,0.008852097536392,0.7514648,0.01177979,0.020768194340744,0.9013672,0.02304077
2018-11-27_14:51:57.087232,0.028726996971588002,0.008255840276184001,0.7514648,0.01098633,0.020471156695404,0.9016113,0.02270508
2018-11-27_14:51:57.456136,0.02861695361681,0.008393433481064,0.7514648,0.01116943,0.020223520135746,0.9016113,0.02243042
2018-11-27_14:51:57.837873,0.029374802793064002,0.008359038937168,0.7514648,0.01112366,0.021015763855896003,0.9013672,0.02331543
2018-11-27_14:51:58.218490,0.029584081881628,0.008703029464016,0.7514648,0.01158142,0.020881052417612,0.9014893,0.02316284
2018-11-27_14:51:58.601325,0.029319427835331,0.008963843344059,0.7512207,0.01193237,0.020355584491272,0.9013672,0.02258301
2018-11-27_14:51:58.983644,0.029218125464057998,0.008529649190711999,0.7513428,0.01135254,0.020688476273346,0.9014893,0.02294922
2018-11-27_14:51:59.381131,0.02906829489851,0.00887502472744,0.7514648,0.0118103,0.02019327017107,0.9014893,0.0223999
2018-11-27_14:51:59.768067,0.028647250908494,0.008426467283988,0.7513428,0.01121521,0.020220783624506,0.9014893,0.02243042
2018-11-27_14:52:00.201559,0.029374044841814002,0.008713082021904,0.7513428,0.01159668,0.020660962819910002,0.9014893,0.0229187
2018-11-27_14:52:00.589206,0.029887077974863,0.009220520700283,0.7515869,0.01226807,0.02066655727458,0.9017334,0.0229187
2018-11-27_14:52:01.004857,0.029705319711523,0.008876466765069998,0.7515869,0.0118103,0.020828852946453,0.9016113,0.02310181
2018-11-27_14:52:01.387017,0.028781598668661,0.008450770245304001,0.7514648,0.01124573,0.020330828423357,0.9014893,0.02255249
2018-11-27_14:52:01.770107,0.029059560333462003,0.008863557374592,0.7514648,0.01179504,0.020196002958870002,0.9016113,0.0223999
2018-11-27_14:52:02.151946,0.029507020622920998,0.00873601300416,0.7513428,0.0116272,0.020771007618761,0.9014893,0.02304077
2018-11-27_14:52:02.540647,0.029407469463724998,0.008862118379712,0.7513428,0.01179504,0.020545351084012998,0.9012451,0.02279663
2018-11-27_14:52:02.919441,0.029945767437954,0.009147246365756999,0.7512207,0.01217651,0.020798521072197002,0.9014893,0.02307129
2018-11-27_14:52:03.304085,0.029215865170932,0.008747478495288,0.7513428,0.01164246,0.020468386675644,0.9014893,0.02270508
2018-11-27_14:52:03.682237,0.02840782729825,0.008187043673744,0.7514648,0.01089478,0.020220783624506,0.9014893,0.02243042
2018-11-27_14:52:04.067407,0.029961638382906997,0.009025559058423,0.7515869,0.01200867,0.020936079324484,0.9014893,0.02322388
2018-11-27_14:52:04.452430,0.028594001440319997,0.008128387054944,0.7513428,0.01081848,0.020465614385376,0.9013672,0.02270508
2018-11-27_14:52:04.842807,0.02891226831584,0.00841636818676,0.7514648,0.01119995,0.02049590012908,0.9014893,0.0227356
2018-11-27_14:52:05.220918,0.028781676088495002,0.008725964169712,0.7514648,0.01161194,0.020055711918783,0.9014893,0.02224731
2018-11-27_14:52:05.601720,0.029076566306013997,0.008773251336092998,0.7515869,0.01167297,0.020303314969921,0.9014893,0.02252197
2018-11-27_14:52:05.965418,0.029485504435624997,0.008714496816864,0.7514648,0.01159668,0.020771007618761,0.9014893,0.02304077
2018-11-27_14:52:06.348618,0.029002689482069,0.008647104990797,0.7515869,0.01150513,0.020355584491272,0.9013672,0.02258301
2018-11-27_14:52:06.737917,0.029114962546544,0.008566827994008,0.7515869,0.01139832,0.020548134552536,0.9013672,0.02279663
2018-11-27_14:52:07.140641,0.029847808453188,0.008966756035576,0.7514648,0.01193237,0.020881052417612,0.9014893,0.02316284
2018-11-27_14:52:07.519247,0.029386849569788,0.008450770245304001,0.7514648,0.01124573,0.020936079324484,0.9014893,0.02322388
2018-11-27_14:52:07.902066,0.029130167943249,0.008771826066456,0.7514648,0.01167297,0.020358341876793,0.9014893,0.02258301
2018-11-27_14:52:08.284864,0.030149002789879,0.009102878666543999,0.7513428,0.01211548,0.021046124123335,0.9014893,0.02334595
